episode,reward,loss,frequency,sigma
272,1.6533701419830322,-86.6552963256836,0.0,35.52867641366446
273,3.2556004524230957,-40.55190658569336,0.0,34.55745567613517
274,0.8259909152984619,-33.0987663269043,0.0,33.564941101971435
275,-0.762641429901123,-31.056291580200195,0.775,40.06931918527377
276,1.5639444589614868,-37.293678283691406,0.0,41.180001613547375
277,2.1815054416656494,-82.14253234863281,0.775,35.07941692913097
278,1.92178213596344,-10.63162899017334,0.8,45.652584285875875
279,0.8381469249725342,-49.96686553955078,0.775,44.06482078539977
280,0.22578157484531403,-66.0608901977539,0.0,34.38864478349144
281,1.875095248222351,-48.030059814453125,0.0,38.579297980932544
282,3.3784282207489014,-39.51210021972656,0.0,38.11642920028295
283,0.23396503925323486,-30.97226905822754,0.775,36.734510696203216
284,1.2507121562957764,-48.2784538269043,0.8,37.79202055785988
285,0.5890341401100159,-42.568817138671875,0.775,49.64435403993701
286,2.9764561653137207,-13.582807540893555,0.0,43.75690113776153
287,-1.8328320980072021,-50.83448028564453,0.775,38.53573059017782
288,0.9466803669929504,11.600363731384277,0.775,67.0722551741693
289,1.5202620029449463,-18.832763671875,0.0,37.79961062119433
290,1.1077220439910889,-33.06058120727539,0.0,39.152351316224475
291,2.240015983581543,-31.049015045166016,0.0,41.41992168615121
292,2.059453010559082,8.244182586669922,0.775,47.58341770399535
293,3.6099371910095215,-7.201265811920166,0.8,43.892544646732
294,1.710158109664917,24.417400360107422,0.775,47.18690643124837
295,2.4030306339263916,-24.2249755859375,0.775,47.03079170478722
296,2.3250436782836914,6.03849983215332,0.775,44.07646008555248
297,2.7269797325134277,-15.953784942626953,0.775,52.87354567632157
298,2.197521686553955,8.656976699829102,0.0,36.952786593750425
299,0.3769714832305908,-0.6387944221496582,0.775,43.10052257681046
300,2.7401297092437744,6.043370723724365,0.0,42.23248187350142
301,-0.2063734233379364,15.701987266540527,0.775,45.88869907244825
302,0.3578122854232788,9.568144798278809,0.0,41.567524757016145
303,4.075472831726074,-9.32589054107666,0.775,44.85540635962334
304,2.5973145961761475,-12.148836135864258,0.775,37.54906582857966
305,0.6532968282699585,-6.8752641677856445,0.775,41.78914712805286
306,0.2915661334991455,29.588151931762695,0.775,49.05183960243994
307,-0.8640657663345337,3.538194417953491,0.775,55.31140800229394
308,0.6191182136535645,-2.2558324337005615,0.0,40.63927838597264
309,4.542513370513916,24.664527893066406,0.0,41.820537505434956
310,1.6459417343139648,31.220619201660156,0.8,35.32538417085378
311,1.9918746948242188,4.678274154663086,0.0,35.42415017746005
312,2.072261333465576,-12.436942100524902,0.0,38.259189394109434
313,1.0148752927780151,6.6360883712768555,0.0,40.873852704939246
314,1.2286067008972168,-5.722172737121582,0.0,44.85277877059246
315,3.1621756553649902,-14.327279090881348,0.0,33.78046052189236
316,1.4455394744873047,-20.593597412109375,0.775,45.23739657751015
317,0.6125413179397583,-8.339824676513672,0.0,50.16846929651875
318,2.1321277618408203,29.626737594604492,0.0,40.46305909938594
319,0.8652713894844055,-6.770425319671631,0.775,54.65810898422038
320,2.472047805786133,0.005741536617279053,0.0,49.275231289542994
321,0.6726421117782593,10.137592315673828,0.775,53.925810422145496
322,2.7882633209228516,10.598108291625977,0.0,39.60581123607232
323,1.139386773109436,-19.44622802734375,0.0,42.08352890942167
324,0.9051393270492554,-17.46575355529785,0.0,39.716409669894844
325,1.7485789060592651,-9.02011489868164,0.0,38.31907672429283
326,3.1218395233154297,-22.58975601196289,0.0,40.79910303150559
327,7.654521942138672,28.69805335998535,0.775,51.063128466195906
328,1.4073350429534912,23.169706344604492,0.0,40.08156011769046
329,3.3169426918029785,12.279397964477539,0.775,69.26181358891645
330,1.516282320022583,-22.22661018371582,0.0,42.103464859078656
331,4.423267841339111,12.001668930053711,0.0,40.00135927201923
332,2.08382511138916,26.028356552124023,0.775,63.23182337409766
333,2.6057889461517334,1.2834538221359253,0.0,41.86691738260398
334,1.6913014650344849,-16.18613624572754,0.775,44.723075441351476
335,0.27945804595947266,-1.036441683769226,0.775,45.658128839499
336,1.5314325094223022,2.118420124053955,0.0,40.43104052873054
337,0.34090715646743774,-3.8149046897888184,0.775,44.8087718898057
338,6.263075351715088,39.98552322387695,0.775,57.1099388739103
339,0.9294816255569458,15.777443885803223,0.0,36.30344613588294
340,2.7288522720336914,7.425538063049316,0.0,39.76297811932377
341,4.008810043334961,16.297550201416016,0.8,46.22421740935254
342,2.6018080711364746,15.196468353271484,0.8,56.328662098768866
343,1.6857903003692627,28.72945213317871,0.0,47.6817992888856
344,0.7722729444503784,14.381367683410645,0.775,39.56706712025137
345,-0.48998695611953735,-16.08808135986328,0.0,40.774165990226216
346,1.9668521881103516,9.263389587402344,0.0,49.12991564916839
347,1.857578992843628,-6.741062641143799,0.775,53.676336050344474
348,0.6432714462280273,48.78363800048828,0.0,38.35469602401347
349,3.493586778640747,-6.598529815673828,0.8,40.34436779689272
350,3.113463878631592,2.4203920364379883,0.0,42.90697166844832
351,5.740219593048096,19.16293716430664,0.8,47.1580169612596
352,3.467949867248535,14.711982727050781,0.0,47.4143197390175
353,3.9323413372039795,9.264237403869629,0.0,41.5848655624658
354,5.129565238952637,14.326749801635742,0.0,35.759487632168884
355,0.3748640716075897,18.605823516845703,0.775,44.9985186094075
356,-0.47523921728134155,38.17702865600586,0.0,48.717006637198665
357,-1.5564470291137695,32.982364654541016,0.775,49.34249016289192
358,2.3283262252807617,-7.365635395050049,0.0,47.225157339710464
359,3.2562003135681152,10.855070114135742,0.0,40.663889379267474
360,0.09046727418899536,14.939363479614258,0.775,44.21995575418246
361,3.287111282348633,12.584914207458496,0.0,51.0699270215878
362,0.7836881875991821,-7.147416591644287,0.775,44.24726150236448
363,1.6370573043823242,-18.860294342041016,0.0,48.75445545007515
364,4.226656436920166,14.432153701782227,0.8,42.4714480387292
365,2.537677764892578,0.4208277463912964,0.0,40.248685965606946
366,6.410228252410889,-3.2881853580474854,0.8,47.18652364509007
367,1.4695675373077393,19.685575485229492,0.0,43.66519126944272
368,5.047097206115723,6.895943641662598,0.775,47.94507129018388
369,2.4656476974487305,-16.38555335998535,0.0,40.09079607099968
370,2.792802572250366,13.434212684631348,0.0,53.94988719701711
371,0.09529274702072144,3.228748321533203,0.0,40.330108093029445
372,3.4918224811553955,12.131266593933105,0.775,49.47101339402084
373,1.9363508224487305,-15.430030822753906,0.775,41.45285462409149
374,4.303649425506592,-15.140151023864746,0.0,41.069313003400765
375,5.071481704711914,23.65481185913086,0.775,58.6889573482803
376,3.0581140518188477,11.996160507202148,0.775,43.22778974397774
377,0.6784570813179016,-6.172996997833252,0.0,47.36264977173359
378,1.6977834701538086,-0.36624976992607117,0.0,40.59013497631645
379,1.9013941287994385,4.372625827789307,0.0,51.00065371470358
380,4.896272659301758,16.695762634277344,0.0,42.5581668903234
381,2.8907346725463867,14.471611022949219,0.775,52.570721632608574
382,4.392538070678711,33.15512466430664,0.775,45.11424472570517
383,4.566452980041504,34.852577209472656,0.0,43.3307595503299
384,2.4838664531707764,33.933841705322266,0.0,53.14170590776133
385,2.023953676223755,8.518911361694336,0.775,74.97248299764188
386,5.035074710845947,21.517749786376953,0.775,48.86160532267977
387,3.523310661315918,14.031566619873047,0.0,38.14626578901573
388,4.289024829864502,19.694095611572266,0.0,47.31288050777768
389,0.5795755386352539,-0.17717480659484863,0.775,40.63809238930621
390,2.425579786300659,16.39870262145996,0.0,47.266387345782285
391,1.0845261812210083,3.761571168899536,0.0,39.83462350767566
392,0.19059514999389648,-4.015598297119141,0.775,54.903132955392586
393,5.617162704467773,21.373958587646484,0.775,58.05359275839048
394,2.2427077293395996,-3.394254207611084,0.0,52.89214104200341
395,2.160635471343994,-3.555783271789551,0.0,46.39776106727697
396,7.984659194946289,31.778390884399414,0.775,54.704922636324966
